Idx,Name,Node,Id,Community
175,b'Peru',PER,604,0.0
176,b'Philippines',PHL,608,
177,b'Palau',PLW,585,
178,b'Papua New Guinea',PNG,598,
179,b'Poland',POL,616,2.0
180,b'Puerto Rico',PRI,630,
181,"b""Korea, Democratic People's Republic of""",PRK,408,
182,b'Portugal',PRT,620,
183,b'Paraguay',PRY,600,0.0
184,"b'Palestine, State of'",PSE,275,
185,b'French Polynesia',PYF,258,
186,b'Qatar',QAT,634,
187,b'Runion',REU,638,
188,b'Romania',ROU,642,1.0
189,b'Russian Federation',RUS,643,8.0
190,b'Rwanda',RWA,646,
191,b'Saudi Arabia',SAU,682,
192,b'Sudan',SDN,729,
193,b'Senegal',SEN,686,
194,b'Singapore',SGP,702,5.0
195,b'South Georgia and the South Sandwich Islands',SGS,239,
196,"b'Saint Helena, Ascension and Tristan da Cunha'",SHN,654,
197,b'Svalbard and Jan Mayen',SJM,744,
198,b'Solomon Islands',SLB,90,
199,b'Sierra Leone',SLE,694,
200,b'El Salvador',SLV,222,4.0
201,b'San Marino',SMR,674,
202,b'Somalia',SOM,706,
203,b'Saint Pierre and Miquelon',SPM,666,
204,b'Serbia',SRB,688,1.0
205,b'South Sudan',SSD,728,
206,b'Sao Tome and Principe',STP,678,
207,b'Suriname',SUR,740,
208,b'Slovakia',SVK,703,2.0
209,b'Slovenia',SVN,705,2.0
210,b'Sweden',SWE,752,3.0
211,b'Eswatini',SWZ,748,7.0
212,b'Sint Maarten (Dutch part)',SXM,534,
213,b'Seychelles',SYC,690,
214,b'Syrian Arab Republic',SYR,760,
215,b'Turks and Caicos Islands',TCA,796,
216,b'Chad',TCD,148,
217,b'Togo',TGO,768,
218,b'Thailand',THA,764,5.0
219,b'Tajikistan',TJK,762,
220,b'Tokelau',TKL,772,
221,b'Turkmenistan',TKM,795,
222,b'Timor-Leste',TLS,626,
223,b'Tonga',TON,776,
224,b'Trinidad and Tobago',TTO,780,
225,b'Tunisia',TUN,788,
226,b'Turkey',TUR,792,8.0
227,b'Tuvalu',TUV,798,
228,"b'Taiwan, Province of China'",TWN,158,
229,"b'Tanzania, United Republic of'",TZA,834,7.0
230,b'Uganda',UGA,800,
231,b'Ukraine',UKR,804,1.0
232,b'United States Minor Outlying Islands',UMI,581,
233,b'Uruguay',URY,858,0.0
234,b'United States',USA,840,0.0
235,b'Uzbekistan',UZB,860,
236,b'Holy See (Vatican City State)',VAT,336,
237,b'Saint Vincent and the Grenadines',VCT,670,
238,"b'Venezuela, Bolivarian Republic of'",VEN,862,
239,"b'Virgin Islands, British'",VGB,92,
240,"b'Virgin Islands, U.S.'",VIR,850,
241,b'Viet Nam',VNM,704,
242,b'Vanuatu',VUT,548,
243,b'Wallis and Futuna',WLF,876,
244,b'Samoa',WSM,882,
245,b'Yemen',YEM,887,
246,b'South Africa',ZAF,710,7.0
247,b'Zambia',ZMB,894,7.0
248,b'Zimbabwe',ZWE,716,7.0
